Z,h,K,T,persistence,biomass,stability
1.0,1.2,0.4641588833612779,293.15,0.65,"[0.4641588833612784, 0.10910323896311466, 0.10910323896311466, 0.12525269469038416, 0.006482085145432491, 0.1205533813808296, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08477914772988887, 0.021385639069865403, 9.089430694664312e-6, 0.0, 0.15669928244848647, 0.016370474202297383, 0.010477238741471169, 0.0018194047718441588]",-0.0005123560749631548
1.0,1.2,0.4641588833612779,298.15,0.65,"[0.4641588833612784, 0.13268766878270782, 0.13268766878270782, 0.15338963552418383, 0.009875848195192464, 0.14903994625676284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10170746566792159, 0.029527704736875125, 1.2007717466312015e-5, 0.0, 0.19628299375007285, 0.02202146146993991, 0.015435711488552096, 0.001997518875838884]",-0.0008149294584148417
1.0,1.2,0.4641588833612779,303.15,0.65,"[0.4641588833612784, 0.1589155609594126, 0.1589155609594126, 0.1841387021102391, 0.014460676969342407, 0.18047465612647687, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11938536329647308, 0.0413670417036109, 1.4265069695601141e-5, 0.0, 0.24069073374244263, 0.030550062921886913, 0.021522348477580232, 0.002022292091296296]",-0.000833410407737504
1.0,1.2,0.7742636826811271,283.15,0.65,"[0.7742636826811264, 0.07255562706740154, 0.0725556270692626, 0.08367683405924282, 0.002659120100569425, 0.07718770033598264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05857047552852151, 0.00992557872367552, 5.871409184179797e-6, 0.0, 0.09929774486142101, 0.00801343476404826, 0.004599782964940275, 0.0015114250467626197]",-0.0002668286983730878
1.0,1.2,0.7742636826811271,288.15,0.65,"[0.7742636826811264, 0.09177006340371385, 0.09177006340371385, 0.1090091868071599, 0.004584389488957488, 0.10111469476385367, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07438414887207072, 0.012091760250497787, 1.007553871447904e-5, 0.0, 0.1321357893667866, 0.009108682068986624, 0.008248185054152259, 0.0020172801033081795]",-0.0004455174655558928
1.0,1.2,0.7742636826811271,293.15,0.65,"[0.7742636826811264, 0.11468992400645325, 0.11468992400645325, 0.13926574450757306, 0.007399942464588639, 0.13029810506283698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09354878608140757, 0.015457825225498687, 1.5886762310668854e-5, 0.0, 0.17205761201586853, 0.010943307027465174, 0.013384603840066366, 0.002568924754395385]",-0.0007469765770090168
1.0,1.2,0.7742636826811271,298.15,0.65,"[0.7742636826811279, 0.14144716782415068, 0.14144716782415068, 0.17429370105197187, 0.01134195164401457, 0.1647399179311136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11488965025721831, 0.02056932496500712, 2.3054308409180914e-5, 0.0, 0.21965830097630673, 0.013846314864622974, 0.02018323572000735, 0.0031210187473280347]",-0.0009528302939054381
1.0,1.2,0.7742636826811271,303.15,0.65,"[0.7742636826811264, 0.17232381368405206, 0.17232381368405206, 0.21417857879720256, 0.016813931833271643, 0.20460449125923091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13933574810611207, 0.028328497745454758, 3.1288040228363395e-5, 0.0, 0.27502784216888854, 0.018390323735356463, 0.028729467726715873, 0.0036301844719275503]",-0.0008912773992813153
1.0,1.2,1.2915496650148839,283.15,0.65,"[1.2915496650148834, 0.07390316433096873, 0.07390316435620739, 0.0877645909985869, 0.0028351592307810465, 0.07927395806213584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06055204831520971, 0.00843808269372856, 7.381851810643269e-6, 0.0, 0.10323928171422608, 0.006633851522849905, 0.005240598595794792, 0.001680551273304958]",-0.0003452110683241574
1.0,1.2,1.2915496650148839,288.15,0.65,"[1.2915496650148834, 0.09419273643260558, 0.09419273643260558, 0.11638385088297003, 0.004880985861873436, 0.10538668309055331, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07800997938665585, 0.009778535713200342, 1.3005447095827554e-5, 0.0, 0.138738382844974, 0.007075402233753258, 0.009601384886034481, 0.002290630007656108]",-0.00036901032833720445
